StopName;Boarded;Alighted;TotalFlow
OKULICKIEGO - HALA TARGOWA;7622;7533;15155
Al.JANA PAWŁA II - Os.CENTRALNE I;7811;5996;13807
Al.JANA PAWŁA II - STACJA PALIW;6718;6762;13480
Al.JANA PAWŁA II - STRAŻ;7681;3704;11385
Al.JANA PAWŁA II - PORĘBY;4329;6184;10513
ROZWADÓW  RYNEK-02;1975;8096;10071
ROZWADÓW - RYNEK-01;7808;2040;9848
STASZICA - LO;4927;4589;9516
CZARNIECKIEGO - Os.LASOWIAKÓW;4907;4386;9293
Al JANA PAWŁA II - Os.MŁODYNIE;5173;2751;7924
STASZICA - DELIKATESY;3834;3574;7408
OKULICKIEGO - WIADUKT;2753;4532;7285
CZARNIECKIEGO - Os.FLISAKÓW;4109;3028;7137
NISKO - DOM HANDLOWY-02;30;7026;7056
OKULICKIEGO - PKS;3925;3035;6960
NISKO - DOM HANDLOWY-01;6749;157;6906
Al.JANA PAWŁA II - PORĘBY I;2573;3921;6494
POPIEŁUSZKI - APTEKA;3332;2973;6305
STASZICA - STACJA PALIW;3076;3196;6272
KEN - PARKING;3274;2174;5448
KWIATKOWSKIEGO - SP ZOZ-01;4123;1317;5440
POPIEŁUSZKI - BAZYLIKA;2484;2908;5392
KWIATKOWSKIEGO -  SP ZOZ-02;887;4209;5096
ORZESZKOWEJ - Os.METALOWCÓW;3406;1421;4827
NISKO - BIEDRONKA;4313;395;4708
KEN - WIADUKT;1568;3076;4644
OFIAR KATYNIA - CMENTARZ;2755;1704;4459
STASZICA - WZORCOWY;2720;1677;4397
ŻWIRKI i WIGURY - HOTEL HUTNIK;1920;2368;4288
OFIAR KATYNIA - PRZYCHODNIA;939;3101;4040
ENERGETYKÓW -  ELEKTROWNIA;3009;962;3971
NISKO - APTEKA;334;3628;3962
MICKIEWICZA - LO;1676;2226;3902
ORZESZKOWEJ - JUBILAT;1564;2272;3836
OFIAR KATYNIA - SUPER MARKET;1375;2228;3603
MICKIEWICZA - DWORZEC PKP;1586;1902;3488
OFIAR KATYNIA - FABRYCZNE;1323;2133;3456
OFIAR KATYNIA - JUBILAT;2217;1181;3398
ENERGETYKÓW - PRZEJAZD KOLEJOWY;956;2426;3382
GALERIA HANDLOWA VIVO-02;1046;2323;3369
KEN - HOTEL STAL-01;1647;1565;3212
KWIATKOWSKIEGO - RONDO SOLIDARNOŚCI HSW;1698;1396;3094
ŻWIRKI i WIGURY - ANDERSA;1688;1373;3061
KEN - RONDO;1585;1467;3052
GALERIA HANDLOWA VIVO-01;1955;993;2948
OKULICKIEGO - SUPERMARKET;1671;1253;2924
HUTNICZA - SZKOŁA;424;2394;2818
ENERGETYKÓW - SZKOŁA;715;2025;2740
WAŃKOWICZA-02;37;2489;2526
WAŃKOWICZA-01;2442;26;2468
KWIATKOWSKIEGO - URZĄD MIASTA;1204;1226;2430
NISKO - JEDNOSTKA WOJSKOWA-01;1976;281;2257
ENERGETYKÓW -  SWOŁY;1749;480;2229
NIEZŁOMNYCH - SUPERMARKET;857;1317;2174
OFIAR KATYNIA - POCZTA;1522;616;2138
HUTNICZA - APTEKA;516;1582;2098
NISKO - JEDNOSTKA WOJSKOWA-02;291;1797;2088
POPIEŁUSZKI - MOPS;1546;456;2002
PONIATOWSKIEGO -  SUPERMARKET-02;678;1322;2000
ZAJEZDNIA;963;1003;1966
PONIATOWSKIEGO - OCHRONKA;1168;692;1860
PONIATOWSKIEGO -  BANK;791;958;1749
HUTNICZA - PRZYCHODNIA;1237;477;1714
AGATÓWKA-01;1508;202;1710
PONIATOWSKIEGO - SUPERMARKET-01;1073;565;1638
Al. JANA PAWŁA II - GÓRKA;349;1264;1613
NIEZŁOMNYCH - SALON SAMOCHODOWY;639;864;1503
Al.JANA PAWŁA II - CMENTARZ;1235;262;1497
KWIATKOWSKIEGO - STREFA;1189;300;1489
OKULICKIEGO - BANK;472;881;1353
DĄBROWSKIEGO - DWORZEC PKP-01;1147;200;1347
CZARNIECKIEGO - Os.ZASANIE;73;1264;1337
POPIEŁUSZKI - DMOWSKIEGO;223;1097;1320
KEN - STACJA PALIW;698;621;1319
OGRODOWA - WIADUKT;1295;15;1310
DĄBROWSKIEGO - DWORZEC PKP-02;86;1210;1296
PYSZNICA - STRAŻ POŻARNA-02;43;1213;1256
PODLEŚNA - DOM DZIECKA;738;500;1238
OKULICKIEGO - ZBR;814;403;1217
PRZEMYSŁOWA - STACJA PALIW;265;935;1200
ENERGETYKÓW - SOPOCKA;921;234;1155
CZARNIECKIEGO -  DZIAŁKI;1102;31;1133
KLASZTORNA - CMENTARZ;187;936;1123
KASPRZYCKIEGO - ZZN-02;808;289;1097
PYSZNICA - STRAŻ POŻARNA-01;983;65;1048
MOSKALE-01;470;569;1039
JASTKOWICE - DK-02;0;1019;1019
PRZEMYSŁOWA - SKŁADY BUDOWLANE;736;276;1012
WAŃKOWICZA - JAGODOWA;947;24;971
Os.ZASANIE-01;656;299;955
GRABSKIEGO - MISTA;259;693;952
KEN - SANEPID;332;616;948
MALCE-02;237;711;948
KASPRZYCKIEGO - HSW S.A-01;116;829;945
POLNA - SZKOŁA-01;905;14;919
JASTKOWICE - DK-01;913;0;913
MOSKALE-02;489;420;909
PYSZNICA - WOLNOŚCI-02;28;880;908
PODLEŚNA - BLOKI;505;402;907
NIEZŁOMNYCH - STAROSTWO POWIATOWE;96;810;906
BRANDWICKA - Os.POSANIE-02;13;859;872
TOŁWIŃSKIEGO-01;198;638;836
MALCE-01;572;261;833
OKULICKIEGO - GÓRKA;470;349;819
OGRODOWA - BLOKI;45;772;817
TYSIĄCLECIA-01;803;13;816
GRABSKIEGO - ZZN;605;210;815
TOŁWIŃSKIEGO-02;419;375;794
AGATÓWKA-02;20;763;783
PYSZNICA - WOLNOŚCI-01;666;102;768
PILCHÓW - SKLEP-02;16;732;748
AGATÓWKA -02;0;747;747
SOSNOWA - LEŚNICZÓWKA;674;66;740
ZIARNY-02;98;638;736
PILCHÓW - SKLEP-01;730;3;733
KLASZTORNA - KLASZTOR;523;203;726
JAGODOWA-02;47;667;714
BRANDWICKA - SLOVRUR-01;693;7;700
NISKO - ARMES-01;571;128;699
OSIEDLE - BLOKI-02;293;403;696
Os.ZASANIE-02;94;596;690
POPIEŁUSZKI - SĄD;272;411;683
NISKO - ARMES-02;85;590;675
SANDOMIERSKA - MUZEUM-01;594;57;651
PYSZNICA - KRĘTA SZKOŁA-01;621;28;649
SOSNOWA -  LEŚNICZÓWKA;1;646;647
OSIEDLE - BLOKI-01;388;252;640
ZIARNY-01;504;135;639
ENERGETYKÓW - SOSNOWA;121;509;630
SOPOCKA - LEGIONÓW-02;191;432;623
POLNA - SZKOŁA-02;3;608;611
KWIATKOWSKIEGO - KUL;393;208;601
