name;geometry;Latitude;Longitude
;POINT (22.0344873 50.6063578);50.6063578;22.0344873
;POINT (22.0792365 50.5677744);50.5677744;22.0792365
;POINT (22.0783886 50.567967);50.567967;22.0783886
;POINT (22.0368061 50.6054882);50.6054882;22.0368061
Energetyków szkoła 06;POINT (22.0835028 50.544006);50.544006;22.0835028
Galeria handlowa Vivo;POINT (22.0636255 50.5849335);50.5849335;22.0636255
Sandomierska Modrzewiowa 05;POINT (22.0252917 50.6017241);50.6017241;22.0252917
Przyszowska 02;POINT (22.031138 50.5349441);50.5349441;22.031138
Przyszowska 01;POINT (22.0306787 50.5347199);50.5347199;22.0306787
Wspólna PKP 02;POINT (22.0342799 50.5981691);50.5981691;22.0342799
Sochy działki 04;POINT (22.0404911 50.6156197);50.6156197;22.0404911
Wrzosowa Skamat 01;POINT (22.0720412 50.5345708);50.5345708;22.0720412
Sosnowa I 03;POINT (22.0852052 50.5369812);50.5369812;22.0852052
Sosnowa 01;POINT (22.0885133 50.5399455);50.5399455;22.0885133
Sandomierska Ziołowa 07;POINT (22.0172836 50.6059528);50.6059528;22.0172836
;POINT (22.0492682 50.5987713);50.5987713;22.0492682
;POINT (22.0478027 50.6003753);50.6003753;22.0478027
Graniczna kościół 01;POINT (22.0501798 50.5917275);50.5917275;22.0501798
Graniczna wiadukt 02;POINT (22.0498036 50.5911837);50.5911837;22.0498036
;POINT (22.0588465 50.5860133);50.5860133;22.0588465
Dąbrowskiego dworzec PKP 01;POINT (22.0431437 50.5909992);50.5909992;22.0431437
Dąbrowskiego dworzec PKP 02;POINT (22.0420479 50.5916133);50.5916133;22.0420479
DZIAŁKOWA - OCZKO;POINT (22.0762749 50.5723419);50.5723419;22.0762749
;POINT (22.0530961 50.5930053);50.5930053;22.0530961
stanowisko 1;POINT (22.0573481 50.5693084);50.5693084;22.0573481
stanowisko 2;POINT (22.0573119 50.5693593);50.5693593;22.0573119
stanowisko 3;POINT (22.0572788 50.5694082);50.5694082;22.0572788
stanowisko 4;POINT (22.0572442 50.5694586);50.5694586;22.0572442
