StopName;Boarded;Alighted;TotalFlow;Latitude;Longitude
OKULICKIEGO - HALA TARGOWA;7622;7533;15155;50.56975457617232;22.057668326930745
Al.JANA PAWŁA II - Os.CENTRALNE I;7811;5996;13807;50.57146416743081;22.064088041382593
Al.JANA PAWŁA II - STACJA PALIW;6718;6762;13480;50.573339206757005;22.063577226135983
Al.JANA PAWŁA II - STRAŻ;7681;3704;11385;50.57808328536171;22.058563420615442
Al.JANA PAWŁA II - PORĘBY;4329;6184;10513;50.578288891238;22.05891826263409
ROZWADÓW  RYNEK-02;1975;8096;10071;50.59174429421115;22.047276069898658
ROZWADÓW - RYNEK-01;7808;2040;9848;50.59174429421115;22.047276069898658
STASZICA - LO;4927;4589;9516;50.5630422;22.0672685
CZARNIECKIEGO - Os.LASOWIAKÓW;4907;4386;9293;50.56815222829739;22.073306388320038
Al JANA PAWŁA II - Os.MŁODYNIE;5173;2751;7924;50.58174843155082;22.054124869438418
STASZICA - DELIKATESY;3834;3574;7408;50.5649947;22.0670351
OKULICKIEGO - WIADUKT;2753;4532;7285;50.57343045689241;22.05476760389867
CZARNIECKIEGO - Os.FLISAKÓW;4109;3028;7137;50.56834125393748;22.073267204466948
NISKO - DOM HANDLOWY-02;30;7026;7056;50.4987171;22.1378087
OKULICKIEGO - PKS;3925;3035;6960;50.56851475;22.058148350000003
NISKO - DOM HANDLOWY-01;6749;157;6906;50.4987171;22.1378087
Al.JANA PAWŁA II - PORĘBY I;2573;3921;6494;50.58164415764004;22.05484452301791
POPIEŁUSZKI - APTEKA;3332;2973;6305;50.56850839796122;22.06723007932935
STASZICA - STACJA PALIW;3076;3196;6272;50.56147389386904;22.068132231267665
KEN - PARKING;3274;2174;5448;50.5749579;22.058857950000004
KWIATKOWSKIEGO - SP ZOZ-01;4123;1317;5440;50.556623;22.0442773
POPIEŁUSZKI - BAZYLIKA;2484;2908;5392;50.568852850000006;22.068597549999996
KWIATKOWSKIEGO -  SP ZOZ-02;887;4209;5096;50.556623;22.0442773
ORZESZKOWEJ - Os.METALOWCÓW;3406;1421;4827;50.563487884127866;22.047805645753016
NISKO - BIEDRONKA;4313;395;4708;50.4987171;22.1378087
KEN - WIADUKT;1568;3076;4644;50.57457325;22.05708145
OFIAR KATYNIA - CMENTARZ;2755;1704;4459;50.568099399999994;22.039425899999994
STASZICA - WZORCOWY;2720;1677;4397;50.56739075594438;22.065787318369136
ŻWIRKI i WIGURY - HOTEL HUTNIK;1920;2368;4288;50.56574265379391;22.07121596731881
OFIAR KATYNIA - PRZYCHODNIA;939;3101;4040;50.5635992;22.05485334999999
ENERGETYKÓW -  ELEKTROWNIA;3009;962;3971;50.5495384;22.0764329
NISKO - APTEKA;334;3628;3962;50.4987171;22.1378087
MICKIEWICZA - LO;1676;2226;3902;50.5628686032582;22.064581495253393
ORZESZKOWEJ - JUBILAT;1564;2272;3836;50.56491944304115;22.048655811284902
OFIAR KATYNIA - SUPER MARKET;1375;2228;3603;50.567791960214805;22.04096359637122
MICKIEWICZA - DWORZEC PKP;1586;1902;3488;50.5624301227743;22.063063142995386
OFIAR KATYNIA - FABRYCZNE;1323;2133;3456;50.56637755052659;22.04567031585073
OFIAR KATYNIA - JUBILAT;2217;1181;3398;50.565895303197244;22.046774356850527
ENERGETYKÓW - PRZEJAZD KOLEJOWY;956;2426;3382;50.5496964;22.0758053
GALERIA HANDLOWA VIVO-02;1046;2323;3369;50.5849335;22.0636255
KEN - HOTEL STAL-01;1647;1565;3212;50.57710471819844;22.06249837351532
KWIATKOWSKIEGO - RONDO SOLIDARNOŚCI HSW;1698;1396;3094;50.5566703;22.0469347
ŻWIRKI i WIGURY - ANDERSA;1688;1373;3061;50.56580315000001;22.071772399999997
KEN - RONDO;1585;1467;3052;50.5767797138969;22.06314049701034
GALERIA HANDLOWA VIVO-01;1955;993;2948;50.5849335;22.0636255
OKULICKIEGO - SUPERMARKET;1671;1253;2924;50.57374857656615;22.054833588377225
HUTNICZA - SZKOŁA;424;2394;2818;50.55989598750146;22.052664003695376
ENERGETYKÓW - SZKOŁA;715;2025;2740;50.544006;22.0835028
WAŃKOWICZA-02;37;2489;2526;50.53839;22.07905
WAŃKOWICZA-01;2442;26;2468;50.53839;22.07905
KWIATKOWSKIEGO - URZĄD MIASTA;1204;1226;2430;50.5567845;22.0484541
NISKO - JEDNOSTKA WOJSKOWA-01;1976;281;2257;50.4987171;22.1378087
ENERGETYKÓW -  SWOŁY;1749;480;2229;50.5442202;22.0834033
NIEZŁOMNYCH - SUPERMARKET;857;1317;2174;50.57177029010068;22.04710700067867
OFIAR KATYNIA - POCZTA;1522;616;2138;50.56313984616819;22.055861089959855
HUTNICZA - APTEKA;516;1582;2098;50.56303221913011;22.054960940601372
NISKO - JEDNOSTKA WOJSKOWA-02;291;1797;2088;50.4987171;22.1378087
POPIEŁUSZKI - MOPS;1546;456;2002;50.56603791278438;22.054471958651845
PONIATOWSKIEGO -  SUPERMARKET-02;678;1322;2000;50.5703870105428;22.072099050849616
PONIATOWSKIEGO - OCHRONKA;1168;692;1860;50.57199264202284;22.068336570114546
PONIATOWSKIEGO -  BANK;791;958;1749;50.572287370525814;22.067692127764637
HUTNICZA - PRZYCHODNIA;1237;477;1714;50.563711105731144;22.055744009707063
AGATÓWKA-01;1508;202;1710;50.6091186;22.0047294
PONIATOWSKIEGO - SUPERMARKET-01;1073;565;1638;50.5703870105428;22.072099050849616
Al. JANA PAWŁA II - GÓRKA;349;1264;1613;50.58343776203685;22.052671617112086
NIEZŁOMNYCH - SALON SAMOCHODOWY;639;864;1503;50.57207098292859;22.04649509711014
Al.JANA PAWŁA II - CMENTARZ;1235;262;1497;50.58518049818219;22.050279304540343
KWIATKOWSKIEGO - STREFA;1189;300;1489;50.557458;22.052049
OKULICKIEGO - BANK;472;881;1353;50.57815259563033;22.051556106508592
DĄBROWSKIEGO - DWORZEC PKP-01;1147;200;1347;50.5909992;22.0431437
CZARNIECKIEGO - Os.ZASANIE;73;1264;1337;50.56707898450915;22.0903096588932
POPIEŁUSZKI - DMOWSKIEGO;223;1097;1320;50.565760935008235;22.053064539693555
KEN - STACJA PALIW;698;621;1319;50.57088591395779;22.046130449194237
OGRODOWA - WIADUKT;1295;15;1310;50.60724239306886;22.035232417512255
DĄBROWSKIEGO - DWORZEC PKP-02;86;1210;1296;50.5909992;22.0431437
PODLEŚNA - DOM DZIECKA;738;500;1238;50.569858974826566;22.050389037432595
OKULICKIEGO - ZBR;814;403;1217;50.5774999;22.051825450000003
PRZEMYSŁOWA - STACJA PALIW;265;935;1200;50.57672546253652;22.04474149202068
ENERGETYKÓW - SOPOCKA;921;234;1155;50.5420277;22.0894892
CZARNIECKIEGO -  DZIAŁKI;1102;31;1133;50.56729924839944;22.089307713825182
KLASZTORNA - CMENTARZ;187;936;1123;50.58501574721776;22.046985290210607
KASPRZYCKIEGO - ZZN-02;808;289;1097;50.5488211;22.0590851
MOSKALE-01;470;569;1039;50.5288956;22.1113244
JASTKOWICE - DK-02;0;1019;1019;50.6110101;22.0983536
PRZEMYSŁOWA - SKŁADY BUDOWLANE;736;276;1012;50.57771639439974;22.045083503208108
WAŃKOWICZA - JAGODOWA;947;24;971;50.53839;22.07905
Os.ZASANIE-01;656;299;955;50.56707898450915;22.0903096588932
GRABSKIEGO - MISTA;259;693;952;50.5492486;22.055503
KEN - SANEPID;332;616;948;50.57113982649226;22.048872971425027
MALCE-02;237;711;948;50.5364599;22.1019481
KASPRZYCKIEGO - HSW S.A-01;116;829;945;50.5431481;22.0617512
POLNA - SZKOŁA-01;905;14;919;50.59347704022446;22.051963554008893
JASTKOWICE - DK-01;913;0;913;50.6110101;22.0983536
MOSKALE-02;489;420;909;50.5288956;22.1113244
PYSZNICA - WOLNOŚCI-02;28;880;908;50.57708906490196;22.121679554910113
PODLEŚNA - BLOKI;505;402;907;50.56967630265429;22.05023610176784
NIEZŁOMNYCH - STAROSTWO POWIATOWE;96;810;906;50.567863349999996;22.049135
BRANDWICKA - Os.POSANIE-02;13;859;872;50.60970849532747;22.057537069269287
TOŁWIŃSKIEGO-01;198;638;836;50.549105;22.0661735
MALCE-01;572;261;833;50.5364599;22.1019481
OKULICKIEGO - GÓRKA;470;349;819;50.582117092330726;22.05221306234392
OGRODOWA - BLOKI;45;772;817;50.60803262323344;22.03530713247858
TYSIĄCLECIA-01;803;13;816;50.5234884;22.1242603
GRABSKIEGO - ZZN;605;210;815;50.5492516;22.0564672
TOŁWIŃSKIEGO-02;419;375;794;50.549105;22.0661735
AGATÓWKA-02;20;763;783;50.6091186;22.0047294
PYSZNICA - WOLNOŚCI-01;666;102;768;50.57708906490196;22.121679554910113
PILCHÓW - SKLEP-02;16;732;748;50.6172874;22.0236445
AGATÓWKA -02;0;747;747;50.6091186;22.0047294
SOSNOWA - LEŚNICZÓWKA;674;66;740;50.5341106;22.081625
ZIARNY-02;98;638;736;50.5751336;22.1086303
PILCHÓW - SKLEP-01;730;3;733;50.6172874;22.0236445
KLASZTORNA - KLASZTOR;523;203;726;50.584204397548454;22.046960262821
JAGODOWA-02;47;667;714;50.53839;22.07905
BRANDWICKA - SLOVRUR-01;693;7;700;50.6079875814391;22.05532747220245
NISKO - ARMES-01;571;128;699;50.4987171;22.1378087
OSIEDLE - BLOKI-02;293;403;696;50.5299262;22.1233295
Os.ZASANIE-02;94;596;690;50.56707898450915;22.0903096588932
POPIEŁUSZKI - SĄD;272;411;683;50.5678263;22.0611135
NISKO - ARMES-02;85;590;675;50.4987171;22.1378087
SANDOMIERSKA - MUZEUM-01;594;57;651;50.59527972517535;22.04065852201533
PYSZNICA - KRĘTA SZKOŁA-01;621;28;649;50.56952869769606;22.132343347069654
SOSNOWA -  LEŚNICZÓWKA;1;646;647;50.5341106;22.081625
OSIEDLE - BLOKI-01;388;252;640;50.5299262;22.1233295
ZIARNY-01;504;135;639;50.5751336;22.1086303
ENERGETYKÓW - SOSNOWA;121;509;630;50.5412318;22.0912924
SOPOCKA - LEGIONÓW-02;191;432;623;50.5360508;22.1101124
POLNA - SZKOŁA-02;3;608;611;50.59347704022446;22.051963554008893
KWIATKOWSKIEGO - KUL;393;208;601;50.5613520884203;22.05915341051267
KASZTANOWA-02;11;573;584;50.59179795;22.032675299999994
SOPOCKA - LEGIONÓW-01;370;204;574;50.5360508;22.1101124
SOLIDARNOŚCI - PKP;187;384;571;50.561746367907354;22.060984476190995
ENERGETYKÓW - MLECZARNIA;263;307;570;50.55676415;22.07059485
ENERGETYKÓW - LOK;270;295;565;50.55822865;22.06989025
TYSIĄCLECIA-02;11;550;561;50.5234884;22.1242603
JASTKOWICE - ARMII KRAJOWEJ-01;539;7;546;50.61044055;22.09971625
KASZTANOWA-01;516;20;536;50.59179795;22.032675299999994
SOCHY - Os.CHARZEWICE;17;513;530;50.607631626001265;22.035782150175365
KASPRZYCKIEGO - HSW S.A-02;504;1;505;50.5431481;22.0617512
BRANDWICA - KOCHANOWSKIEGO-02;30;473;503;50.6163379;22.0629318
SOPOCKA - KOŚCIÓŁ-02;159;343;502;50.5412215;22.1040433
KŁYŻÓW - I-01;499;1;500;50.54600197076748;22.165529922091537
SANDOMIERSKA - MUZEUM-02;53;439;492;50.59527972517535;22.04065852201533
KWIATKOWSKIEGO - POLITECHNIKA;106;378;484;50.557553;22.0515829
BOREK-02;27;446;473;50.57783117022374;22.117213211223103
BOREK-01;413;40;453;50.57783117022374;22.117213211223103
WSPÓLNA-01;443;4;447;50.5981691;22.0342799
OGRODOWA-01;421;17;438;50.602615784202435;22.037040528316837
MIRECKIEGO-02;35;394;429;50.5477217;22.0725893
KŁYŻÓW - I-02;9;407;416;50.54600197076748;22.165529922091537
SOPOCKA - KOŚCIÓŁ-01;268;128;396;50.5412215;22.1040433
KASPRZYCKIEGO - ZZN-01;22;368;390;50.5488211;22.0590851
WSPÓLNA-02;38;350;388;50.5981691;22.0342799
JASTKOWICE - ARMII KRAJOWEJ-02;7;379;386;50.61044055;22.09971625
SANDOMIERSKA - PKP-01;367;19;386;50.598176096946936;22.032996602111947
BRANDWICKA - KARNATY-02;5;378;383;50.60436825;22.053105600000002
TARNOWSKIEGO-01;366;15;381;50.5361751;22.0819455
TURBIA - SZKOŁA-01;369;8;377;50.619777378030044;21.984432564741233
SOPOCKA - KOMIS;85;286;371;50.5417486;22.0918174
BRANDWICA-SKRZYŻOWANIE-01;364;4;368;50.5505295;22.2286639
BRANDWICKA - GRUNDWALDZKA;39;299;338;50.59637631973861;22.04490412586706
TURBIA - SZKOŁA-02;45;290;335;50.619777378030044;21.984432564741233
BRANDWICA-02;25;291;316;50.6163379;22.0629318
SANDOMIERSKA - MODRZEWIOWA-02;4;300;304;50.6017241;22.0252917
DZIAŁKOWA OCZYSZCZALNIA-02;0;303;303;50.5806794;22.0716275
BRANDWICKA - TOPOLOWA;239;64;303;50.595641500000006;22.0438069
OGRODOWA-02;22;270;292;50.602615784202435;22.037040528316837
PYSZNICA - KRĘTA SZKOŁA-02;66;225;291;50.56952869769606;22.132343347069654
SANDOMIERSKA - MODRZEWIOWA-01;281;7;288;50.6017241;22.0252917
SOCHY-01;279;8;287;50.6156197;22.0404911
OLSZOWIEC - I-02;9;277;286;50.554786449999995;22.15771835
POPIEŁUSZKI - BANK;125;161;286;50.5678706;22.0628509
SOCHY-02;4;274;278;50.6156197;22.0404911
GRABSKIEGO - ALUTEC-02;8;267;275;50.5363961;22.0371674
PONIATOWSKIEGO - SZKOŁA-02;81;191;272;50.58191809999999;22.061770900000003
OLSZOWIEC - II-01;257;10;267;50.559199492782334;22.151758306069887
TARNOWSKIEGO-02;16;242;258;50.5361751;22.0819455
DZIAŁKOWA OCZYSZCZALNIA-01;253;3;256;50.5806794;22.0716275
KŁYŻÓW-01;254;0;254;50.55031484952217;22.16194514616197
BRANDWICA-01;237;9;246;50.6163379;22.0629318
WRZOSOWA - DOMKI-01;240;5;245;50.5443578;22.0763122
ZALESZANY - KOŚCIÓŁ-02;0;242;242;50.650149;21.8918693
WRZOSOWA - DOMKI-02;6;235;241;50.5443578;22.0763122
COP - ZMBPOK;203;34;237;50.5439488;22.0423689
