StopName;Latitude;Longitude;MatchedAs;Score
OKULICKIEGO - HALA TARGOWA;50.569758050000004;22.0576666002461;Okulickiego hala targowa 02;94
Al.JANA PAWŁA II - Os.CENTRALNE I;50.571437599999996;22.06410214852899;Al. Jana Pawła II Os. Centralne I 06;95
Al.JANA PAWŁA II - STACJA PALIW;50.573339450000006;22.063577095206426;Al. Jana Pawła II stacja paliw 01;95
Al.JANA PAWŁA II - STRAŻ;50.57807135;22.05856259290616;Al. Jana Pawła II straż 04;94
Al.JANA PAWŁA II - PORĘBY;50.57822585;22.058977730492423;Al. Jana Pawła II Poręby 03;94
ROZWADÓW  RYNEK-02;50.5917537;22.047277556052876;Rozwadów Rynek 02;100
ROZWADÓW - RYNEK-01;50.59266855;22.04713636686969;Rozwadów Rynek 01;100
STASZICA - LO;50.5630422;22.0672685;Staszica LO 04;88
CZARNIECKIEGO - Os.LASOWIAKÓW;50.5681702;22.073255306936417;Czarnieckiego Os. Lasowiaków 02;95
Al JANA PAWŁA II - Os.MŁODYNIE;50.581748399999995;22.054124904864334;Al. Jana Pawła II Os. Młodynie 02;95
STASZICA - DELIKATESY;50.5649947;22.0670351;Staszica delikatesy 03;93
OKULICKIEGO - WIADUKT;50.5734305;22.054767576097078;Okulickiego wiadukt 07;93
CZARNIECKIEGO - Os.FLISAKÓW;50.56834125;22.073267215835017;Czarnieckiego Os. Flisaków 03;94
NISKO - DOM HANDLOWY-02;50.5693593;22.0573119;stanowisko 2;61
OKULICKIEGO - PKS;50.56851475;22.058148350000003;Okulickiego PKS 05;91
NISKO - DOM HANDLOWY-01;50.5693084;22.0573481;stanowisko 1;61
Al.JANA PAWŁA II - PORĘBY I;50.581597849999994;22.05488580755095;Al. Jana Pawła II Poręby I 05;94
POPIEŁUSZKI - APTEKA;50.5685084;22.067230085892515;Popiełuszki apteka 06;92
STASZICA - STACJA PALIW;50.56146975;22.06813277712569;Staszica stacja paliw 01;93
KEN - PARKING;50.5749579;22.05885795;KEN parking 04;88
KWIATKOWSKIEGO - SP ZOZ-01;50.556623;22.0442773;Kwiatkowskiego SP ZOZ 01;100
POPIEŁUSZKI - BAZYLIKA;50.56885285;22.06859755;Popiełuszki bazylika 01;93
KWIATKOWSKIEGO -  SP ZOZ-02;50.556623;22.0442773;Kwiatkowskiego SP ZOZ 01;96
ORZESZKOWEJ - Os.METALOWCÓW;50.56348795;22.047805689994362;Orzeszkowej Os. Metalowców 01;94
KEN - WIADUKT;50.57457325;22.05708145;KEN wiadukt 03;88
OFIAR KATYNIA - CMENTARZ;50.568099399999994;22.03942590000002;Ofiar Katynia cmentarz 02;94
STASZICA - WZORCOWY;50.5673858;22.065789178417646;Staszica Wzorcowy 02;92
ŻWIRKI i WIGURY - HOTEL HUTNIK;50.565742650000004;22.07121596301546;Żwirki i Wigury hotel Hutnik 01;95
OFIAR KATYNIA - PRZYCHODNIA;50.5635992;22.054853350000002;Ofiar Katynia przychodnia 01;94
ENERGETYKÓW -  ELEKTROWNIA;50.5495384;22.0764329;Energetyków elektrownia 05;94
NISKO - APTEKA;50.5685084;22.067230085892515;Popiełuszki apteka 06;61
MICKIEWICZA - LO;50.56287595;22.064603911202184;Mickiewicza LO 02;90
ORZESZKOWEJ - JUBILAT;50.5648868;22.04862189316976;Orzeszkowej Jubilat 02;93
OFIAR KATYNIA - SUPER MARKET;50.56777125;22.041022920010615;Ofiar Katynia supermarket 05;70
MICKIEWICZA - DWORZEC PKP;50.56243795;22.063093572268073;Mickiewicza dworzec PKP 01;94
OFIAR KATYNIA - FABRYCZNE;50.56637755;22.045670303116342;Ofiar Katynia Fabryczne 03;94
OFIAR KATYNIA - JUBILAT;50.56589525;22.046774513304534;Ofiar Katynia Jubilat 04;93
ENERGETYKÓW - PRZEJAZD KOLEJOWY;50.5496964;22.0758053;Energetyków przejazd kolejowy 04;95
GALERIA HANDLOWA VIVO-02;50.5849335;22.0636255;Galeria handlowa Vivo;93
